,ID_GPS,ISO,Country,Partyname,V14,Group,Group_region,Region,longitude,latitude
26383,989,UKR,Ukraine,All-Ukrainian Union 'Fatherland',3.875,,Region2,Europe and Central Asia,31.16558,48.379433
26504,990,UKR,Ukraine,Opposition Bloc,5.666666667,,Region2,Europe and Central Asia,31.16558,48.379433
26505,991,UKR,Ukraine,People's Front,3.857142857,,Region2,Europe and Central Asia,31.16558,48.379433
26626,992,UKR,Ukraine,Petro Poroshenko Bloc,3.375,,Region2,Europe and Central Asia,31.16558,48.379433
26627,993,UKR,Ukraine,Radical Party of Oleh Lyashko,5.5,,Region2,Europe and Central Asia,31.16558,48.379433
26748,994,UKR,Ukraine,Self Reliance Party,3.714285714,,Region2,Europe and Central Asia,31.16558,48.379433
26749,999,URY,Uruguay,Popular Assembly,2.625,,Region3,Latin America and the Caribbean,-55.765835,-32.522779
26975,1006,VEN,Venezuela,Democratic Unity Roundtable,3.625,,Region3,Latin America and the Caribbean,-66.58973,6.42375
27258,1007,VEN,Venezuela,Others,3.75,,Region3,Latin America and the Caribbean,-66.58973,6.42375
27259,1008,VEN,Venezuela,United Socialist Party of Venezuela/Great Patriotic Pole,4.666666667,,Region3,Latin America and the Caribbean,-66.58973,6.42375
27401,1009,VNM,Viet Nam,Communist Party,2.833333333,,Region1,East Asia and the Pacific,108.277199,14.058324
27435,1012,VUT,Vanuatu,Land and Justice Party,0.666666667,,Region1,East Asia and the Pacific,166.959158,-15.376706
27436,1011,VUT,Vanuatu,Lauko Group,9,D,Region1,East Asia and the Pacific,166.959158,-15.376706
27439,1015,VUT,Vanuatu,National United Party,8,C,Region1,East Asia and the Pacific,166.959158,-15.376706
27440,1016,VUT,Vanuatu,Our Land Party,4,,Region1,East Asia and the Pacific,166.959158,-15.376706
27441,1017,VUT,Vanuatu,Peoples Progressive Party,9,D,Region1,East Asia and the Pacific,166.959158,-15.376706
27442,1018,VUT,Vanuatu,Reunification of Movements for Change,5.5,,Region1,East Asia and the Pacific,166.959158,-15.376706
27443,1019,VUT,Vanuatu,Union of Moderate Parties,8,C,Region1,East Asia and the Pacific,166.959158,-15.376706
27445,1021,WSM,Samoa,Human Rights Protection Party,1.5,,Region1,East Asia and the Pacific,-172.104629,-13.759029
27450,1022,WSM,Samoa,Tautua Samoa Party,2,,Region1,East Asia and the Pacific,-172.104629,-13.759029
27451,1023,YEM,Yemen,al-Haqq Party,9,D,Region4,Middle East and North Africa,48.516388,15.552727
27458,1025,YEM,Yemen,Arab Socialist Ba'ath Party,7,B,Region4,Middle East and North Africa,48.516388,15.552727
27459,1028,YEM,Yemen,Hizb ut-Tahrir,7.5,B,Region4,Middle East and North Africa,48.516388,15.552727
27466,1029,YEM,Yemen,Nasserist Reform Organization,7,B,Region4,Middle East and North Africa,48.516388,15.552727
27471,1034,ZAF,South Africa,African Independent Congress,3.75,,Region7,Sub-Saharan Africa,22.937506,-30.559482
27524,1041,ZAF,South Africa,National Freedom Party,1.4,,Region7,Sub-Saharan Africa,22.937506,-30.559482
27577,1043,ZMB,Zambia,Forum for Democracy and Development Party,4.666666667,,Region7,Sub-Saharan Africa,27.849332,-13.133897
27625,1047,ZMB,Zambia,United Party for National Development,4,,Region7,Sub-Saharan Africa,27.849332,-13.133897
27649,1048,ZWE,Zimbabwe,Independents,3.666666667,,Region7,Sub-Saharan Africa,29.154857,-19.015438
27670,1050,ZWE,Zimbabwe,Movement for Democratic Change Ncube,4.285714286,,Region7,Sub-Saharan Africa,29.154857,-19.015438
27671,16,ALB,Albania,Socialist Party of Albania,2.083333333,,Region2,Europe and Central Asia,20.168331,41.153332
27676,11,ALB,Albania,Democratic Party of Albania,2.909090909,,Region2,Europe and Central Asia,20.168331,41.153332
27682,14,ALB,Albania,Social Democratic Party of Albania,2.8,,Region2,Europe and Central Asia,20.168331,41.153332
27702,15,ALB,Albania,Socialist Movement for Integration,2.545454545,,Region2,Europe and Central Asia,20.168331,41.153332
27711,13,ALB,Albania,"Party for Justice, Integration and Unity",2.4,,Region2,Europe and Central Asia,20.168331,41.153332
27717,12,ALB,Albania,Libra Party,2.25,,Region2,Europe and Central Asia,20.168331,41.153332
27725,260,DZA,Algeria,National Liberation Front,5,,Region4,Middle East and North Africa,1.659626,28.033886
27730,258,DZA,Algeria,Nadha-Adala-Bina,8,C,Region4,Middle East and North Africa,1.659626,28.033886
27734,259,DZA,Algeria,National Democratic Rally,4.8,,Region4,Middle East and North Africa,1.659626,28.033886
27737,257,DZA,Algeria,HMS Alliance,6.666666667,A,Region4,Middle East and North Africa,1.659626,28.033886
27785,45,AZE,Azerbaijan,New Azerbaijan Party,0,,Region2,Europe and Central Asia,47.576927,40.143105
27986,18,ARG,Argentina,Citizen's Unity,2.307692308,,Region3,Latin America and the Caribbean,-63.616672,-38.416097
28167,17,ARG,Argentina,Cambiemos,4.1,,Region3,Latin America and the Caribbean,-63.616672,-38.416097
28355,22,ARG,Argentina,Justicialist Party,4.571428571,,Region3,Latin America and the Caribbean,-63.616672,-38.416097
28601,31,AUS,Australia,Australian Labor Party,1.769230769,,Region1,East Asia and the Pacific,133.775136,-25.274398
28602,35,AUS,Australia,Liberal Party of Australia,3.25,,Region1,East Asia and the Pacific,133.775136,-25.274398
29081,36,AUS,Australia,National Party of Australia,4.666666667,,Region1,East Asia and the Pacific,133.775136,-25.274398
29082,30,AUS,Australia,Australia Greens,1.153846154,,Region1,East Asia and the Pacific,133.775136,-25.274398
29563,32,AUS,Australia,Independent,2,,Region1,East Asia and the Pacific,133.775136,-25.274398
29569,42,AUT,Austria,Social Democratic Party of Austria,1.842105263,,Region2,Europe and Central Asia,14.550072,47.516231
29750,38,AUT,Austria,Austrian People's Party,5.090909091,,Region2,Europe and Central Asia,14.550072,47.516231
29751,39,AUT,Austria,Freedom Party of Austria,8.533333333,C,Region2,Europe and Central Asia,14.550072,47.516231
29932,43,AUT,Austria,The Greens – The Green Alternative,0.619047619,,Region2,Europe and Central Asia,14.550072,47.516231
29933,40,AUT,Austria,NEOS – The New Austria ,1.4,,Region2,Europe and Central Asia,14.550072,47.516231
30114,41,AUT,Austria,Peter Pilz List ,2.333333333,,Region2,Europe and Central Asia,14.550072,47.516231
30116,79,BGD,Bangladesh,Bangladesh Awami League,2.333333333,,Region6,South Asia,90.356331,23.684994
30233,80,BGD,Bangladesh,Bangladesh Nationalist Party,4,,Region6,South Asia,90.356331,23.684994
30234,82,BGD,Bangladesh,Jatiya Party,2.6,,Region6,South Asia,90.356331,23.684994
30314,29,ARM,Armenia,Prosperous Armenia,6.888888889,A,Region2,Europe and Central Asia,45.038189,40.069099
30383,97,BIH,Bosnia and Herzegovina,Alliance of Independent Social Democrats,4,,Region2,Europe and Central Asia,17.679076,43.915886
30385,104,BIH,Bosnia and Herzegovina,SDS-NDP-NS-SRS,2.75,,Region2,Europe and Central Asia,17.679076,43.915886
30395,103,BIH,Bosnia and Herzegovina,Party of Democratic Progress,2.25,,Region2,Europe and Central Asia,17.679076,43.915886
30398,102,BIH,Bosnia and Herzegovina,Party of Democratic Action,4.75,,Region2,Europe and Central Asia,17.679076,43.915886
30412,105,BIH,Bosnia and Herzegovina,Social Democratic Party of Bosnia and Herzegovina,3,,Region2,Europe and Central Asia,17.679076,43.915886
30434,122,BRA,Brazil,Brazilian Democratic Movement,3.3125,,Region3,Latin America and the Caribbean,-51.92528,-14.235004
30891,129,BRA,Brazil,Workers' Party,1,,Region3,Latin America and the Caribbean,-51.92528,-14.235004
30892,125,BRA,Brazil,Social Democracy Party,3.15,,Region3,Latin America and the Caribbean,-51.92528,-14.235004
31350,123,BRA,Brazil,Progressive Party,7.052631579,B,Region3,Latin America and the Caribbean,-51.92528,-14.235004
31357,120,BRA,Brazil,Brazilian Socialist Party,1.8125,,Region3,Latin America and the Caribbean,-51.92528,-14.235004
31821,128,BRA,Brazil,Social Liberal Party ,8.814814815,C,Region3,Latin America and the Caribbean,-51.92528,-14.235004
31822,121,BRA,Brazil,Democrats,5.9,,Region3,Latin America and the Caribbean,-51.92528,-14.235004
32280,119,BRA,Brazil,Brazilian Republican Party,7.705882353,B,Region3,Latin America and the Caribbean,-51.92528,-14.235004
32397,86,BGR,Bulgaria,Bulgarian Socialist Party,4.857142857,,Region2,Europe and Central Asia,25.48583,42.733883
32400,88,BGR,Bulgaria,Movement for Rights and Freedoms (DPS),4.166666667,,Region2,Europe and Central Asia,25.48583,42.733883
32613,87,BGR,Bulgaria,Citizens for European Development of Bulgaria,3.4,,Region2,Europe and Central Asia,25.48583,42.733883
32622,90,BGR,Bulgaria,Will,7.333333333,B,Region2,Europe and Central Asia,25.48583,42.733883
32912,245,DNK,Denmark,Danish People's Party,4.2,,Region2,Europe and Central Asia,9.501785,56.26392
32978,108,BLR,Belarus,Communist Party of Belarus,3.666666667,,Region2,Europe and Central Asia,27.953389,53.709807
32979,107,BLR,Belarus,Belarusian Patriotic Party,4,,Region2,Europe and Central Asia,27.953389,53.709807
33114,111,BLR,Belarus,Republican Party of Labour and Justice,4,,Region2,Europe and Central Asia,27.953389,53.709807
33128,109,BLR,Belarus,Liberal Democratic Party of Belarus,4,,Region2,Europe and Central Asia,27.953389,53.709807
33258,112,BLR,Belarus,United Civil Party,0.5,,Region2,Europe and Central Asia,27.953389,53.709807
33261,140,CAN,Canada,Liberal Party,1.294117647,,Region5,North America,-106.346771,56.130366
33996,138,CAN,Canada,Conservative Party,6,A,Region5,North America,-106.346771,56.130366
33997,141,CAN,Canada,New Democratic Party,1.352941176,,Region5,North America,-106.346771,56.130366
34733,137,CAN,Canada,Bloc Quebecois,2.066666667,,Region5,North America,-106.346771,56.130366
34734,139,CAN,Canada,Green Party,1.823529412,,Region5,North America,-106.346771,56.130366
35144,970,TWN,Taiwan,Democratic Progressive Party,2.2,,Region1,East Asia and the Pacific,120.960515,23.69781
35347,972,TWN,Taiwan,New Party,6,A,Region1,East Asia and the Pacific,120.960515,23.69781
35550,969,TWN,Taiwan,Chinese Nationalist Party,2.5,,Region1,East Asia and the Pacific,120.960515,23.69781
35754,973,TWN,Taiwan,New Power Party,2.6,,Region1,East Asia and the Pacific,120.960515,23.69781
35957,977,TWN,Taiwan,Taiwan Solidarity Union,3.25,,Region1,East Asia and the Pacific,120.960515,23.69781
36160,976,TWN,Taiwan,People First Party,2.8,,Region1,East Asia and the Pacific,120.960515,23.69781
36363,975,TWN,Taiwan,Other Parties,3,,Region1,East Asia and the Pacific,120.960515,23.69781
36566,184,COL,Colombia,Colombian Conservative Party,10,E,Region3,Latin America and the Caribbean,-74.297333,4.570868
36929,185,COL,Colombia,Colombian Liberal Party,3.333333333,,Region3,Latin America and the Caribbean,-74.297333,4.570868
36930,189,COL,Colombia,National Unity Social Party / Party of the U,7,B,Region3,Latin America and the Caribbean,-74.297333,4.570868
37293,190,COL,Colombia,Radical Change Party,6.5,A,Region3,Latin America and the Caribbean,-74.297333,4.570868
37294,188,COL,Colombia,Independent Movement of Absolute Renovation,10,E,Region3,Latin America and the Caribbean,-74.297333,4.570868
37657,187,COL,Colombia,Green Alliance Party,1,,Region3,Latin America and the Caribbean,-74.297333,4.570868
37659,181,COL,Colombia,Alternative Democratic Polo Party,0.666666667,,Region3,Latin America and the Caribbean,-74.297333,4.570868
38028,186,COL,Colombia,Democratic Center Party,7,B,Region3,Latin America and the Caribbean,-74.297333,4.570868
38067,391,HRV,Croatia,HDZ Coalition,5.666666667,,Region2,Europe and Central Asia,15.2,45.1
38077,393,HRV,Croatia,People's Coalition,1.375,,Region2,Europe and Central Asia,15.2,45.1
38164,386,HRV,Croatia,Bridge of Independent Lists,6.666666667,A,Region2,Europe and Central Asia,15.2,45.1
38167,221,CYP,Cyprus,Progressive Party of the Working People,1.3,,Region2,Europe and Central Asia,33.429859,35.126413
38226,217,CYP,Cyprus,Democratic Rally,2.111111111,,Region2,Europe and Central Asia,33.429859,35.126413
38227,216,CYP,Cyprus,Democratic Alignment,3,,Region2,Europe and Central Asia,33.429859,35.126413
38286,219,CYP,Cyprus,Movement of Social Democrats,2.777777778,,Region2,Europe and Central Asia,33.429859,35.126413
38288,218,CYP,Cyprus,Green Party - Citizen's Alliance,2.111111111,,Region2,Europe and Central Asia,33.429859,35.126413
38348,220,CYP,Cyprus,National People's Front,8,C,Region2,Europe and Central Asia,33.429859,35.126413
38511,228,CZE,Czech Republic,Czech Social Democratic Party,2.956521739,,Region2,Europe and Central Asia,15.472962,49.817492
38513,224,CZE,Czech Republic,Christian and Democratic Union – Czechoslovak People's Party,4.846153846,,Region2,Europe and Central Asia,15.472962,49.817492
38811,226,CZE,Czech Republic,Communist Party of Bohemia and Moravia,5.222222222,,Region2,Europe and Central Asia,15.472962,49.817492
38814,225,CZE,Czech Republic,Civic Democratic Party,6,A,Region2,Europe and Central Asia,15.472962,49.817492
39139,229,CZE,Czech Republic,Freedom and Direct Democracy,8.277777778,C,Region2,Europe and Central Asia,15.472962,49.817492
39141,230,CZE,Czech Republic,Mayors and Independents,3,,Region2,Europe and Central Asia,15.472962,49.817492
39296,249,DNK,Denmark,Social Democratic Party,2,,Region2,Europe and Central Asia,9.501785,56.26392
39661,248,DNK,Denmark,Radical Left,0.875,,Region2,Europe and Central Asia,9.501785,56.26392
39844,244,DNK,Denmark,Conservative People's Party,3.285714286,,Region2,Europe and Central Asia,9.501785,56.26392
39845,250,DNK,Denmark,Socialist People's Party,1.125,,Region2,Europe and Central Asia,9.501785,56.26392
40211,251,DNK,Denmark,Unity List-Red Green Alliance,0.75,,Region2,Europe and Central Asia,9.501785,56.26392
40212,247,DNK,Denmark,Liberal Alliance,3.714285714,,Region2,Europe and Central Asia,9.501785,56.26392
40579,246,DNK,Denmark,"Left, Liberal Party of Denmark",2.571428571,,Region2,Europe and Central Asia,9.501785,56.26392
40580,242,DNK,Denmark,Alternative,0.875,,Region2,Europe and Central Asia,9.501785,56.26392
40860,256,DOM,Dominican Republic,Social Christian Reformist Party,7,B,Region3,Latin America and the Caribbean,-70.162651,18.735693
40960,265,ECU,Ecuador,Movimiento Alianza Pais,4.333333333,,Region3,Latin America and the Caribbean,-78.183406,-1.831239
41176,267,ECU,Ecuador,Party of the Democratic Left,2.25,,Region3,Latin America and the Caribbean,-78.183406,-1.831239
41177,264,ECU,Ecuador,January 21 Patriotic Society Party,7.666666667,B,Region3,Latin America and the Caribbean,-78.183406,-1.831239
41392,266,ECU,Ecuador,Pachakutik Plurinational Unity Movement - New Country,3.666666667,,Region3,Latin America and the Caribbean,-78.183406,-1.831239
41395,262,ECU,Ecuador,Creating Opportunities Movement,6,A,Region3,Latin America and the Caribbean,-78.183406,-1.831239
41613,263,ECU,Ecuador,Fuerza Ecuador,8,C,Region3,Latin America and the Caribbean,-78.183406,-1.831239
41615,268,ECU,Ecuador,Social Christian Party,6,A,Region3,Latin America and the Caribbean,-78.183406,-1.831239
41839,860,SLV,El Salvador,Nationalist Republican Alliance,8.2,C,Region3,Latin America and the Caribbean,-88.89653,13.794185
41840,853,SLV,El Salvador,Farabundo Marti National Liberation Front,3.2,,Region3,Latin America and the Caribbean,-88.89653,13.794185
42073,852,SLV,El Salvador,Christian Democratic Party,6,A,Region3,Latin America and the Caribbean,-88.89653,13.794185
42075,858,SLV,El Salvador,National Coalition Party,8.2,C,Region3,Latin America and the Caribbean,-88.89653,13.794185
42220,294,ETH,Ethiopia,Afar National Democratic Party,4,,Region7,Sub-Saharan Africa,40.489673,9.145
42224,298,ETH,Ethiopia,The Benishangul Gumuz Peoples Democratic Party,3.75,,Region7,Sub-Saharan Africa,40.489673,9.145
42280,295,ETH,Ethiopia,Ethiopian People's Revolutionary Democratic Front,4.333333333,,Region7,Sub-Saharan Africa,40.489673,9.145
42286,296,ETH,Ethiopia,Somali People's Democratic Party,3.666666667,,Region7,Sub-Saharan Africa,40.489673,9.145
42319,289,EST,Estonia,Estonian Centre Party,2.818181818,,Region2,Europe and Central Asia,25.013607,58.595272
42558,291,EST,Estonia,Estonian Reform Party,2.6,,Region2,Europe and Central Asia,25.013607,58.595272
42577,293,EST,Estonia,Union of Pro Patria and Res Publica,5.666666667,,Region2,Europe and Central Asia,25.013607,58.595272
42814,292,EST,Estonia,Social-Democratic Party,0.818181818,,Region2,Europe and Central Asia,25.013607,58.595272
42819,288,EST,Estonia,Conservative People's Party of Estonia,7.818181818,B,Region2,Europe and Central Asia,25.013607,58.595272
43056,290,EST,Estonia,Estonian Free Party,3.2,,Region2,Europe and Central Asia,25.013607,58.595272
43058,307,FIN,Finland,Social Democratic Party,1.526315789,,Region2,Europe and Central Asia,25.748151,61.92411
43553,301,FIN,Finland,Center Party,2.75,,Region2,Europe and Central Asia,25.748151,61.92411
43554,305,FIN,Finland,National Coalition Party,2.368421053,,Region2,Europe and Central Asia,25.748151,61.92411
44049,304,FIN,Finland,Left Alliance,0.55,,Region2,Europe and Central Asia,25.748151,61.92411
44050,308,FIN,Finland,Swedish People's Party,1.15,,Region2,Europe and Central Asia,25.748151,61.92411
44545,303,FIN,Finland,Green League,0.5,,Region2,Europe and Central Asia,25.748151,61.92411
44546,309,FIN,Finland,The Finns Party,6.357142857,A,Region2,Europe and Central Asia,25.748151,61.92411
45041,302,FIN,Finland,Christian Democrats,4.666666667,,Region2,Europe and Central Asia,25.748151,61.92411
45045,306,FIN,Finland,Others,2,,Region2,Europe and Central Asia,25.748151,61.92411
45296,320,FRA,France,Socialist Party,2.888888889,,Region2,Europe and Central Asia,2.213749,46.227638
45575,317,FRA,France,La France Insoumise,2.4,,Region2,Europe and Central Asia,2.213749,46.227638
45578,318,FRA,France,La République En Marche,3.222222222,,Region2,Europe and Central Asia,2.213749,46.227638
45855,316,FRA,France,Democratic Movement,2.875,,Region2,Europe and Central Asia,2.213749,46.227638
45856,322,FRA,France,Union of Democrats and Independents,3,,Region2,Europe and Central Asia,2.213749,46.227638
46134,321,FRA,France,The Republicans,4.272727273,,Region2,Europe and Central Asia,2.213749,46.227638
46136,319,FRA,France,National Rally,5.444444444,,Region2,Europe and Central Asia,2.213749,46.227638
46353,340,GEO,Georgia,United National Movement,4.285714286,,Region2,Europe and Central Asia,43.356892,42.315407
46377,336,GEO,Georgia,Free Democrats,4.125,,Region2,Europe and Central Asia,43.356892,42.315407
46446,234,DEU,Germany,Christian Democratic Union,3.8,,Region2,Europe and Central Asia,10.451526,51.165691
47057,235,DEU,Germany,Christian Social Union in Bavaria,6.222222222,A,Region2,Europe and Central Asia,10.451526,51.165691
47058,237,DEU,Germany,Social Democratic Party,2.076923077,,Region2,Europe and Central Asia,10.451526,51.165691
47669,236,DEU,Germany,Free Democratic Party ,3.8,,Region2,Europe and Central Asia,10.451526,51.165691
47670,232,DEU,Germany,Alliance 90/The Greens,0.357142857,,Region2,Europe and Central Asia,10.451526,51.165691
48295,233,DEU,Germany,Alternative for Germany ,8.461538462,C,Region2,Europe and Central Asia,10.451526,51.165691
48296,238,DEU,Germany,The Left,1.071428571,,Region2,Europe and Central Asia,10.451526,51.165691
48610,341,GHA,Ghana,National Democratic Congress,4,,Region7,Sub-Saharan Africa,-1.023194,7.946527
48633,342,GHA,Ghana,New Patriotic Party,3.6,,Region7,Sub-Saharan Africa,-1.023194,7.946527
48756,365,GRC,Greece,Communist Party of Greece,2.25,,Region2,Europe and Central Asia,21.824312,39.074208
48757,370,GRC,Greece,Syriza Unionist Social Front,0.923076923,,Region2,Europe and Central Asia,21.824312,39.074208
48990,367,GRC,Greece,Independent Greeks,6,A,Region2,Europe and Central Asia,21.824312,39.074208
48995,368,GRC,Greece,New Democracy,3.5,,Region2,Europe and Central Asia,21.824312,39.074208
49230,366,GRC,Greece,Golden Dawn,8.272727273,C,Region2,Europe and Central Asia,21.824312,39.074208
49232,380,GTM,Guatemala,National Unity for Hope,3,,Region3,Latin America and the Caribbean,-90.230759,15.783471
49301,400,HTI,Haiti,Haitian Tet Kale Party,7.25,B,Region3,Latin America and the Caribbean,-72.285215,18.971187
49310,396,HTI,Haiti,Alternative League for the Progress and Emancipation of Haiti,4,,Region3,Latin America and the Caribbean,-72.285215,18.971187
49312,398,HTI,Haiti,Fanmi Lavalas,1.25,,Region3,Latin America and the Caribbean,-72.285215,18.971187
49323,402,HTI,Haiti,Organization of People in Struggle,2.4,,Region3,Latin America and the Caribbean,-72.285215,18.971187
49357,406,HUN,Hungary,Fidesz,8.090909091,C,Region2,Europe and Central Asia,19.503304,47.162494
49667,409,HUN,Hungary,Hungarian Socialist Party - Dialogue for Hungary,2.230769231,,Region2,Europe and Central Asia,19.503304,47.162494
49673,408,HUN,Hungary,"Jobbik, Movement for a Better Hungary",6.857142857,A,Region2,Europe and Central Asia,19.503304,47.162494
49986,411,HUN,Hungary,Politics Can Be Different,1.461538462,,Region2,Europe and Central Asia,19.503304,47.162494
49987,412,HUN,Hungary,The Democratic Coalition,2,,Region2,Europe and Central Asia,19.503304,47.162494
50296,413,HUN,Hungary,Together – Party for a New Era,1.272727273,,Region2,Europe and Central Asia,19.503304,47.162494
50373,464,ISL,Iceland,Progressive Party,2.375,,Region2,Europe and Central Asia,-19.020835,64.963051
50374,460,ISL,Iceland,Independence Party,4,,Region2,Europe and Central Asia,-19.020835,64.963051
50516,461,ISL,Iceland,Left-Green Movement,1.272727273,,Region2,Europe and Central Asia,-19.020835,64.963051
50519,458,ISL,Iceland,Bright Future,2.75,,Region2,Europe and Central Asia,-19.020835,64.963051
50660,463,ISL,Iceland,Pirate Party,1.7,,Region2,Europe and Central Asia,-19.020835,64.963051
50661,465,ISL,Iceland,Reform Party,1.888888889,,Region2,Europe and Central Asia,-19.020835,64.963051
50805,462,ISL,Iceland,People's Party,5.444444444,,Region2,Europe and Central Asia,-19.020835,64.963051
50806,459,ISL,Iceland,Centre Party ,5.888888889,,Region2,Europe and Central Asia,-19.020835,64.963051
51101,425,IND,India,All India Trinamool Congress,3.75,,Region6,South Asia,78.96288,20.593684
51104,430,IND,India,Shivsena,5.863636364,,Region6,South Asia,78.96288,20.593684
51326,427,IND,India,Biju Janata Dal,3.6875,,Region6,South Asia,78.96288,20.593684
51775,424,IND,India,All India Anna Dravida Munnetra Kazhagam,3.214285714,,Region6,South Asia,78.96288,20.593684
51791,429,IND,India,Indian National Congress,3.47826087,,Region6,South Asia,78.96288,20.593684
52226,426,IND,India,Bharatiya Janata Party,6.576923077,A,Region6,South Asia,78.96288,20.593684
52227,428,IND,India,Communist Party of India,3.259259259,,Region6,South Asia,78.96288,20.593684
52663,432,IND,India,Telugu Desam,4.5,,Region6,South Asia,78.96288,20.593684
52669,431,IND,India,Telangana Rashtra Samithi,4.352941176,,Region6,South Asia,78.96288,20.593684
52902,414,IDN,Indonesia,Democratic Party,1.5,,Region1,East Asia and the Pacific,113.921327,-0.789275
53177,418,IDN,Indonesia,National Democrat Party,2.6,,Region1,East Asia and the Pacific,113.921327,-0.789275
53178,420,IDN,Indonesia,Party of the Functional Groups,1.8,,Region1,East Asia and the Pacific,113.921327,-0.789275
53453,423,IDN,Indonesia,United Development Party,6,A,Region1,East Asia and the Pacific,113.921327,-0.789275
53456,416,IDN,Indonesia,Indonesian Democratic Party,2.166666667,,Region1,East Asia and the Pacific,113.921327,-0.789275
53732,422,IDN,Indonesia,Prosperous Justice Party,6.285714286,A,Region1,East Asia and the Pacific,113.921327,-0.789275
53733,417,IDN,Indonesia,National Awakening Party,3.571428571,,Region1,East Asia and the Pacific,113.921327,-0.789275
54008,419,IDN,Indonesia,National Mandate Party,3.25,,Region1,East Asia and the Pacific,113.921327,-0.789275
54010,415,IDN,Indonesia,Great Indonesia Movement Party,1.5,,Region1,East Asia and the Pacific,113.921327,-0.789275
54286,421,IDN,Indonesia,People's Conscience Party,3.333333333,,Region1,East Asia and the Pacific,113.921327,-0.789275
54305,449,IRQ,Iraq,Kurdistan Democratic Party,0,,Region4,Middle East and North Africa,43.679291,33.223191
54306,454,IRQ,Iraq,Patriotic Union of Kurdistan,0,,Region4,Middle East and North Africa,43.679291,33.223191
54335,451,IRQ,Iraq,Movement for Change,0,,Region4,Middle East and North Africa,43.679291,33.223191
54485,470,ISR,Israel,Likud,3.75,,Region4,Middle East and North Africa,34.851612,31.046051
54487,472,ISR,Israel,Shas,9,D,Region4,Middle East and North Africa,34.851612,31.046051
54724,471,ISR,Israel,Meretz,0.230769231,,Region4,Middle East and North Africa,34.851612,31.046051
54740,481,ITA,Italy,Free and Equal,1.388888889,,Region2,Europe and Central Asia,12.56738,41.87194
55078,477,ITA,Italy,"Centre-Left Coalition (Democratic Party, More Europe,Together, Popular Civic, SVP-PATT)",1.756756757,,Region2,Europe and Central Asia,12.56738,41.87194
55082,480,ITA,Italy,Five Star Movement,2.857142857,,Region2,Europe and Central Asia,12.56738,41.87194
55422,479,ITA,Italy,"Centre-Right Coalition (Lega Nord, Forza Italia, Brothers of Italy, Us with Italy)",7.375,B,Region2,Europe and Central Asia,12.56738,41.87194
55512,495,JPN,Japan,Liberal Democratic Party,5.7,,Region1,East Asia and the Pacific,138.252924,36.204824
55514,494,JPN,Japan,Komeitō,2.5,,Region1,East Asia and the Pacific,138.252924,36.204824
55687,493,JPN,Japan,Japanese Communist Party,2,,Region1,East Asia and the Pacific,138.252924,36.204824
55693,498,JPN,Japan,Social Democratic Party,1.785714286,,Region1,East Asia and the Pacific,138.252924,36.204824
55827,501,KAZ,Kazakhstan,Democratic Party of Kazakhstan,0,,Region2,Europe and Central Asia,66.923684,48.019573
55828,502,KAZ,Kazakhstan,Kazakhstan Social and Democratic Party 'Auyl',0,,Region2,Europe and Central Asia,66.923684,48.019573
55899,500,KAZ,Kazakhstan,Communist People's Party of Kazakhstan,0,,Region2,Europe and Central Asia,66.923684,48.019573
55905,499,KAZ,Kazakhstan,Birlik,0,,Region2,Europe and Central Asia,66.923684,48.019573
55976,504,KAZ,Kazakhstan,Nur Otan,0,,Region2,Europe and Central Asia,66.923684,48.019573
56009,487,JOR,Jordan,Islamic Action Front,8,C,Region4,Middle East and North Africa,36.238414,30.585164
56140,517,KGZ,Kyrgyzstan,Social Democratic Party of Kyrgyzstan,4.666666667,,Region2,Europe and Central Asia,74.766098,41.20438
56141,516,KGZ,Kyrgyzstan,Respublika - Ata-Zhurt,5.5,,Region2,Europe and Central Asia,74.766098,41.20438
56299,518,KGZ,Kyrgyzstan,Socialist Party Ata Meken,6,A,Region2,Europe and Central Asia,74.766098,41.20438
56309,546,LBN,Lebanon,The Lebanese Forces,3,,Region4,Middle East and North Africa,35.862285,33.854721
56310,545,LBN,Lebanon,The Future Movement,3.142857143,,Region4,Middle East and North Africa,35.862285,33.854721
56321,537,LBN,Lebanon,Amal Movement,6.25,A,Region4,Middle East and North Africa,35.862285,33.854721
56322,540,LBN,Lebanon,Hezbollah,8.833333333,C,Region4,Middle East and North Africa,35.862285,33.854721
56341,543,LBN,Lebanon,Progressive Socialist Party,4,,Region4,Middle East and North Africa,35.862285,33.854721
56368,547,LBY,Libya,Justice and Construction Party,5,,Region4,Middle East and North Africa,17.228331,26.3351
56371,550,LBY,Libya,National Forces Alliance,0,,Region4,Middle East and North Africa,17.228331,26.3351
56372,590,LVA,Latvia,National Alliance,5.333333333,,Region2,Europe and Central Asia,24.603189,56.879635
56481,567,LTU,Lithuania,Homeland Union – Lithuanian Christian Democrats,3.8,,Region2,Europe and Central Asia,23.881275,55.169438
56713,576,LTU,Lithuania,Social Democratic Party of Lithuania,1.714285714,,Region2,Europe and Central Asia,23.881275,55.169438
56734,574,LTU,Lithuania,Lithuanian Poles' Electoral Action - Christian Family,7.2,B,Region2,Europe and Central Asia,23.881275,55.169438
56963,573,LTU,Lithuania,Lithuanian Peasant and Greens Union,6.4,A,Region2,Europe and Central Asia,23.881275,55.169438
